,provinsi,kab_kota,kecamatan,url
180,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Manonjaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021216
181,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Bojonggambir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021208
182,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Salawu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021211
183,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Jatiwaras,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021235
184,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pagerageung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021227
185,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cikatomas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021205
186,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021204
187,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Salopa,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021214
188,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Ciawi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021226
189,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukaratu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021230
190,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Rajapolah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021224
191,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cibalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021206
192,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Leuwisari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021221
193,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Bantarkalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021207
194,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukaraja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021213
