provinsi,kab_kota,kecamatan,url
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Padakembang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021239
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Puspahiang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021234
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cineam,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021215
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Mangunreja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021236
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Kadipaten,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021241
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Gunungtanjung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021237
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Jamanis,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021225
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukahening,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021240
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Culamega,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021233
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Bojongasih,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021232
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukaresik,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021242
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Karangjaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021238
